"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2023","29,144.00","29,144.00","29,144.00","29,144.00","","-0.06%"
"06/02/2023","29,161.00","29,161.00","29,161.00","29,161.00","","0.00%"
"06/01/2023","29,161.00","29,161.00","29,161.00","29,161.00","","-0.01%"
"05/31/2023","29,165.00","29,165.00","29,165.00","29,165.00","","-0.01%"
"05/30/2023","29,169.00","29,169.00","29,169.00","29,169.00","","-0.07%"
"05/26/2023","29,190.00","29,190.00","29,190.00","29,190.00","","-2.19%"
"05/25/2023","29,844.00","29,844.00","29,844.00","29,844.00","","-0.06%"
"05/24/2023","29,861.00","29,861.00","29,861.00","29,861.00","","-13.70%"
"05/23/2023","34,599.50","34,599.50","34,599.50","34,599.50","","-0.01%"
"05/22/2023","34,604.00","34,604.00","34,604.00","34,604.00","","-0.05%"
"05/19/2023","34,621.00","34,621.00","34,621.00","34,621.00","","0.00%"
"05/18/2023","34,621.00","34,621.00","34,621.00","34,621.00","","-0.01%"
"05/17/2023","34,625.00","34,625.00","34,625.00","34,625.00","","-0.01%"
"05/16/2023","34,629.50","34,629.50","34,629.50","34,629.50","","0.42%"
"05/15/2023","34,484.00","34,484.00","34,484.00","34,484.00","","-0.06%"
"05/12/2023","34,505.00","34,505.00","34,505.00","34,505.00","","0.00%"
"05/11/2023","34,505.00","34,505.00","34,505.00","34,505.00","","-0.02%"
"05/10/2023","34,510.50","34,510.50","34,510.50","34,510.50","","-0.02%"
"05/09/2023","34,516.00","34,516.00","34,516.00","34,516.00","","-0.08%"
"05/05/2023","34,543.00","34,543.00","34,543.00","34,543.00","","0.00%"
"05/04/2023","34,543.00","34,543.00","34,543.00","34,543.00","","-0.02%"
"05/03/2023","34,549.00","34,549.00","34,549.00","34,549.00","","-0.02%"
"05/02/2023","34,554.50","34,554.50","34,554.50","34,554.50","","-0.08%"
"04/28/2023","34,582.00","34,582.00","34,582.00","34,582.00","","-0.01%"
"04/27/2023","34,587.00","34,587.00","34,587.00","34,587.00","","-0.01%"
"04/26/2023","34,592.00","34,592.00","34,592.00","34,592.00","","-0.01%"
"04/25/2023","34,597.00","34,597.00","34,597.00","34,597.00","","-0.01%"
"04/24/2023","34,602.00","34,602.00","34,602.00","34,602.00","","-0.05%"
"04/21/2023","34,618.00","34,618.00","34,618.00","34,618.00","","-0.02%"
"04/20/2023","34,623.50","34,623.50","34,623.50","34,623.50","","-0.02%"
"04/19/2023","34,629.00","34,629.00","34,629.00","34,629.00","","-0.01%"
"04/18/2023","34,634.00","34,634.00","34,634.00","34,634.00","","0.42%"
"04/17/2023","34,488.00","34,488.00","34,488.00","34,488.00","","-0.05%"
"04/14/2023","34,504.00","34,504.00","34,504.00","34,504.00","","-0.01%"
"04/13/2023","34,509.00","34,509.00","34,509.00","34,509.00","","-0.02%"
"04/12/2023","34,514.50","34,514.50","34,514.50","34,514.50","","-0.02%"
"04/11/2023","34,520.00","34,520.00","34,520.00","34,520.00","","-0.08%"
"04/06/2023","34,546.50","34,546.50","34,546.50","34,546.50","","-0.02%"
"04/05/2023","34,552.00","34,552.00","34,552.00","34,552.00","","0.00%"
"04/04/2023","34,552.50","34,552.50","34,552.50","34,552.50","","-0.03%"
"04/03/2023","34,563.00","34,563.00","34,563.00","34,563.00","","-0.05%"
"03/31/2023","34,579.00","34,579.00","34,579.00","34,579.00","","0.00%"
"03/30/2023","34,579.50","34,579.50","34,579.50","34,579.50","","-0.02%"
"03/29/2023","34,585.00","34,585.00","34,585.00","34,585.00","","1.45%"
"03/28/2023","34,089.50","34,089.50","34,089.50","34,089.50","","0.72%"
"03/27/2023","33,845.00","33,845.00","33,845.00","33,845.00","","-0.06%"
"03/24/2023","33,866.00","33,866.00","33,866.00","33,866.00","","0.00%"
"03/23/2023","33,866.00","33,866.00","33,866.00","33,866.00","","-0.02%"
"03/22/2023","33,871.50","33,871.50","33,871.50","33,871.50","","-0.02%"
"03/21/2023","33,877.00","33,877.00","33,877.00","33,877.00","","-0.01%"
"03/20/2023","33,881.00","33,881.00","33,881.00","33,881.00","","-0.05%"
"03/17/2023","33,898.00","33,898.00","33,898.00","33,898.00","","0.00%"
"03/16/2023","33,898.00","33,898.00","33,898.00","33,898.00","","-0.01%"
"03/15/2023","33,902.50","33,902.50","33,902.50","33,902.50","","-0.01%"
"03/14/2023","33,907.00","33,907.00","33,907.00","33,907.00","","0.45%"
"03/13/2023","33,755.00","33,755.00","33,755.00","33,755.00","0.02K","-0.05%"
"03/10/2023","33,772.00","33,772.00","33,772.00","33,772.00","","0.00%"
"03/09/2023","33,772.00","33,772.00","33,772.00","33,772.00","","-0.01%"
"03/08/2023","33,776.50","33,776.50","33,776.50","33,776.50","","-0.01%"
"03/07/2023","33,781.00","33,781.00","33,781.00","33,781.00","","-0.01%"
"03/06/2023","33,785.00","33,785.00","33,785.00","33,785.00","","-0.05%"
"03/03/2023","33,802.00","33,802.00","33,802.00","33,802.00","","0.00%"
"03/02/2023","33,801.75","33,801.75","33,801.75","33,801.75","","-0.01%"
"03/01/2023","33,806.00","33,806.00","33,806.00","33,806.00","","-0.03%"
"02/28/2023","33,814.50","33,814.50","33,814.50","33,814.50","","-0.05%"
"02/27/2023","33,831.50","33,831.50","33,831.50","33,831.50","","-0.03%"
"02/24/2023","33,840.00","33,840.00","33,840.00","33,840.00","","-0.01%"
"02/23/2023","33,845.00","33,845.00","33,845.00","33,845.00","0.03K","-0.01%"
"02/22/2023","33,850.00","33,850.00","33,850.00","33,850.00","","-4.28%"
"02/21/2023","35,362.00","35,362.00","35,362.00","35,362.00","","-0.04%"
"02/20/2023","35,375.00","35,375.00","35,375.00","35,375.00","","-0.03%"
"02/17/2023","35,384.00","35,384.00","35,384.00","35,384.00","","-0.01%"
"02/16/2023","35,389.00","35,389.00","35,389.00","35,389.00","","-0.02%"
"02/15/2023","35,395.00","35,395.00","35,395.00","35,395.00","","0.00%"
"02/14/2023","35,395.00","35,395.00","35,395.00","35,395.00","","-8.05%"
"02/13/2023","38,493.00","38,493.00","38,493.00","38,493.00","0.01K","-0.03%"
"02/10/2023","38,504.50","38,504.50","38,504.50","38,504.50","","-0.01%"
"02/09/2023","38,510.00","38,510.00","38,510.00","38,510.00","","0.00%"
"02/08/2023","38,510.00","38,510.00","38,510.00","38,510.00","","0.00%"
"02/07/2023","38,510.00","38,510.00","38,510.00","38,510.00","","-0.06%"
"02/06/2023","38,532.00","38,532.00","38,532.00","38,532.00","","-0.03%"
"02/03/2023","38,543.00","38,543.00","38,543.00","38,543.00","","-6.71%"
"02/02/2023","41,315.00","41,315.00","41,315.00","41,315.00","","0.00%"
"02/01/2023","41,315.00","41,315.00","41,315.00","41,315.00","","-15.08%"
"01/31/2023","48,652.00","48,652.00","48,652.00","48,652.00","","0.00%"
"01/30/2023","48,652.00","48,652.00","48,652.00","48,652.00","","-0.01%"
"01/27/2023","48,657.00","48,657.00","48,657.00","48,657.00","","-0.01%"
