,Date,Price,Open,High,Low,Vol.,Change %
282,"Oct 28, 2022",26.2,26.2,26.3,26.1,,-0.38%
283,"Oct 27, 2022",26.3,26.3,26.4,26.2,,0.00%
284,"Oct 26, 2022",26.3,26.3,26.4,26.2,,0.00%
285,"Oct 25, 2022",26.3,26.3,26.4,26.2,,-0.38%
286,"Oct 24, 2022",26.4,26.4,26.5,26.3,,0.00%
287,"Oct 21, 2022",26.4,26.4,26.5,26.3,,0.00%
288,"Oct 20, 2022",26.4,26.4,26.5,26.3,,0.00%
289,"Oct 19, 2022",26.4,26.4,26.5,26.3,,0.00%
290,"Oct 18, 2022",26.4,26.4,26.5,26.3,,0.00%
291,"Oct 17, 2022",26.4,26.4,26.5,26.3,,0.00%
292,"Oct 14, 2022",26.4,26.4,26.5,26.3,,-1.86%
293,"Oct 13, 2022",26.9,26.9,27.0,26.8,,0.00%
294,"Oct 12, 2022",26.9,26.9,27.0,26.8,,0.00%
295,"Oct 11, 2022",26.9,26.9,27.0,26.8,,0.00%
296,"Oct 10, 2022",26.9,26.9,27.0,26.8,,0.00%
297,"Sep 29, 2022",26.9,26.9,27.0,26.8,,0.00%
298,"Sep 28, 2022",26.9,26.9,27.0,26.8,,0.37%
299,"Sep 27, 2022",26.8,26.8,26.9,26.7,,0.00%
300,"Sep 26, 2022",26.8,26.8,26.9,26.7,,0.00%
301,"Sep 23, 2022",26.8,26.8,26.9,26.7,,0.37%
302,"Sep 22, 2022",26.7,26.7,26.8,26.6,,0.00%
303,"Sep 21, 2022",26.7,26.7,26.8,26.6,,0.00%
304,"Sep 20, 2022",26.7,26.7,26.8,26.6,,0.00%
305,"Sep 19, 2022",26.7,26.7,26.8,26.6,,0.00%
306,"Sep 16, 2022",26.7,26.7,26.8,26.6,,0.75%
307,"Sep 15, 2022",26.5,26.5,26.6,26.4,,0.00%
308,"Sep 14, 2022",26.5,26.5,26.6,26.4,,0.00%
309,"Sep 13, 2022",26.5,26.5,26.6,26.4,,0.00%
310,"Sep 09, 2022",26.5,26.5,26.6,26.4,,0.00%
311,"Sep 08, 2022",26.5,26.5,26.6,26.4,,0.00%
312,"Sep 07, 2022",26.5,26.5,26.6,26.4,,0.00%
313,"Sep 06, 2022",26.5,26.5,26.6,26.4,,0.38%
314,"Sep 05, 2022",26.4,26.4,26.5,26.3,,0.00%
315,"Sep 02, 2022",26.4,26.4,26.5,26.3,,2.33%
316,"Sep 01, 2022",25.8,25.8,25.9,25.7,,0.00%
317,"Aug 31, 2022",25.8,25.8,25.9,25.7,,1.57%
318,"Aug 30, 2022",25.4,25.4,25.5,25.3,,0.00%
319,"Aug 29, 2022",25.4,25.4,25.5,25.3,,1.20%
320,"Aug 26, 2022",25.1,25.1,25.2,25.0,,2.45%
321,"Aug 25, 2022",24.5,24.5,24.6,24.4,,0.00%
322,"Aug 24, 2022",24.5,24.5,24.6,24.4,,0.00%
323,"Aug 23, 2022",24.5,24.5,24.6,24.4,,0.00%
324,"Aug 22, 2022",24.5,24.5,24.6,24.4,,0.00%
325,"Aug 19, 2022",24.5,24.5,24.6,24.4,,0.82%
326,"Aug 18, 2022",24.3,24.3,24.4,24.2,,0.00%
327,"Aug 17, 2022",24.3,24.3,24.4,24.2,,0.00%
328,"Aug 16, 2022",24.3,24.3,24.4,24.2,,-0.82%
