Date,Price,Price_gte_2,Price_gte_12,Price_gte_22,Price_lte_2,Price_lte_12,Price_lte_22
2020-08-04,2.9115,True,False,False,False,True,True
2020-08-05,2.9055,True,False,False,False,True,True
2020-08-06,2.7905,True,False,False,False,True,True
2020-08-09,2.8585,True,False,False,False,True,True
2020-08-10,2.872,True,False,False,False,True,True
2020-08-11,2.887,True,False,False,False,True,True
2020-08-12,2.804,True,False,False,False,True,True
2020-08-13,2.856,True,False,False,False,True,True
2020-08-16,2.898,True,False,False,False,True,True
2020-08-17,2.971,True,False,False,False,True,True
2020-08-18,3.019,True,False,False,False,True,True
2020-08-19,2.97,True,False,False,False,True,True
2020-08-20,2.9135,True,False,False,False,True,True
2020-08-23,2.9225,True,False,False,False,True,True
2020-08-24,2.931,True,False,False,False,True,True
2020-08-25,2.9595,True,False,False,False,True,True
2020-08-26,2.965,True,False,False,False,True,True
2020-08-27,2.995,True,False,False,False,True,True
2020-08-30,3.041,True,False,False,False,True,True
2020-08-31,3.0095,True,False,False,False,True,True
2020-09-01,3.003,True,False,False,False,True,True
2020-09-02,2.958,True,False,False,False,True,True
2020-09-03,3.0465,True,False,False,False,True,True
2020-09-07,3.0125,True,False,False,False,True,True
2020-09-08,3.04,True,False,False,False,True,True
2020-09-09,2.987,True,False,False,False,True,True
2020-09-10,3.034,True,False,False,False,True,True
2020-09-13,3.0665,True,False,False,False,True,True
2020-09-14,3.063,True,False,False,False,True,True
2020-09-15,3.058,True,False,False,False,True,True
2020-09-16,3.0665,True,False,False,False,True,True
2020-09-17,3.1135,True,False,False,False,True,True
2020-09-20,3.0295,True,False,False,False,True,True
2020-09-21,3.059,True,False,False,False,True,True
2020-09-22,2.9935,True,False,False,False,True,True
2020-09-23,2.969,True,False,False,False,True,True
2020-09-24,2.973,True,False,False,False,True,True
2020-09-27,2.9895,True,False,False,False,True,True
2020-09-28,2.9835,True,False,False,False,True,True
2020-09-29,3.0285,True,False,False,False,True,True
2020-09-30,2.8635,True,False,False,False,True,True
2020-10-01,2.9785,True,False,False,False,True,True
2020-10-04,2.965,True,False,False,False,True,True
2020-10-05,2.9655,True,False,False,False,True,True
2020-10-06,3.0345,True,False,False,False,True,True
2020-10-07,3.042,True,False,False,False,True,True
2020-10-08,3.0795,True,False,False,False,True,True
2020-10-11,3.061,True,False,False,False,True,True
2020-10-12,3.0425,True,False,False,False,True,True
2020-10-13,3.0475,True,False,False,False,True,True
2020-10-14,3.083,True,False,False,False,True,True
2020-10-15,3.065,True,False,False,False,True,True
2020-10-18,3.081,True,False,False,False,True,True
2020-10-19,3.1435,True,False,False,False,True,True
2020-10-20,3.1945,True,False,False,False,True,True
2020-10-21,3.15,True,False,False,False,True,True
2020-10-22,3.1255,True,False,False,False,True,True
