,Date,Price,Open,High,Low,Vol.,Change %
244,"Jan 11, 2023","9,124.50","9,020.00","9,001.00","8,995.00",68.15K,2.38%
245,"Jan 10, 2023","8,912.00","8,805.00","8,790.00","8,795.00",44.22K,0.59%
246,"Jan 09, 2023","8,859.50","8,752.00","8,744.00","8,745.00",68.10K,3.14%
247,"Jan 06, 2023","8,589.50","8,390.00","8,385.00","8,387.00",64.93K,2.57%
248,"Jan 05, 2023","8,374.50","8,440.00","8,437.00","8,438.00",48.57K,1.48%
249,"Jan 04, 2023","8,252.00","8,240.00","8,235.00","8,235.00",51.85K,-0.84%
250,"Jan 03, 2023","8,321.50","8,408.00","8,407.00","8,408.00",51.04K,-0.60%
251,"Dec 30, 2022","8,372.00","8,420.00","8,400.00","8,400.00",28.36K,-0.55%
252,"Dec 29, 2022","8,418.00","8,410.00","8,402.00","8,405.00",22.07K,-0.30%
253,"Dec 28, 2022","8,443.00","8,475.00","8,470.00","8,470.00",28.29K,1.12%
254,"Dec 23, 2022","8,349.50","8,340.00","8,325.00","8,326.00",23.76K,0.47%
255,"Dec 22, 2022","8,310.50","8,370.00","8,364.00","8,365.00",31.76K,-0.99%
256,"Dec 21, 2022","8,393.50","8,360.00","8,350.00","8,355.00",23.05K,0.47%
257,"Dec 20, 2022","8,354.50","8,340.00","8,325.00","8,326.00",38.82K,0.41%
258,"Dec 19, 2022","8,320.00","8,375.00","8,375.00","8,366.00",27.44K,0.65%
259,"Dec 16, 2022","8,266.50","8,285.00","8,275.00","8,276.00",33.85K,-0.33%
260,"Dec 15, 2022","8,293.50","8,430.00","8,420.00","8,422.00",44.97K,-2.62%
261,"Dec 14, 2022","8,516.50","8,470.00","8,455.00","8,455.00",23.25K,0.23%
262,"Dec 13, 2022","8,497.00","8,435.00","8,433.00","8,433.00",49.80K,1.47%
263,"Dec 12, 2022","8,374.00","8,430.00","8,410.00","8,415.00",30.90K,-1.98%
264,"Dec 09, 2022","8,543.00","8,535.00","8,525.00","8,524.00",42.28K,0.00%
265,"Dec 08, 2022","8,543.00","8,550.00","8,545.00","8,545.00",36.09K,1.02%
266,"Dec 07, 2022","8,456.50","8,375.00","8,370.00","8,375.00",33.43K,0.42%
267,"Dec 06, 2022","8,421.50","8,410.00","8,398.00","8,400.00",34.56K,0.36%
268,"Dec 05, 2022","8,391.00","8,480.00","8,465.00","8,470.00",42.35K,-0.70%
269,"Dec 02, 2022","8,450.00","8,365.00","8,362.00","8,364.00",54.78K,1.37%
270,"Dec 01, 2022","8,336.00","8,251.00","8,250.00","8,251.00",49.61K,1.18%
271,"Nov 30, 2022","8,239.00","8,210.00","8,200.00","8,205.00",56.76K,2.51%
272,"Nov 29, 2022","8,037.50","8,059.00","8,050.00","8,055.00",39.07K,0.99%
273,"Nov 28, 2022","7,959.00","7,985.00","7,980.00","7,985.00",35.83K,-0.61%
274,"Nov 25, 2022","8,008.00","8,104.00","8,100.00","8,104.00",22.32K,-0.41%
275,"Nov 24, 2022","8,041.00","8,030.00","8,022.00","8,025.00",15.68K,0.45%
276,"Nov 23, 2022","8,005.00","8,000.00","7,995.00","7,995.00",26.78K,-0.10%
277,"Nov 22, 2022","8,013.00","8,035.00","8,028.00","8,029.00",41.31K,1.68%
278,"Nov 21, 2022","7,880.50","7,955.00","7,938.00","7,940.00",41.30K,-2.42%
279,"Nov 18, 2022","8,076.00","8,090.00","8,085.00","8,086.00",46.42K,-0.42%
280,"Nov 17, 2022","8,110.00","8,190.00","8,185.50","8,186.50",47.18K,-2.21%
281,"Nov 16, 2022","8,293.50","8,345.00","8,340.00","8,345.00",33.58K,-0.99%
282,"Nov 15, 2022","8,376.50","8,380.00","8,377.00","8,375.00",54.27K,0.02%
283,"Nov 14, 2022","8,375.00","8,375.00","8,360.00","8,360.00",58.96K,-1.38%
284,"Nov 11, 2022","8,492.50","8,440.00","8,435.00","8,437.00",75.91K,2.67%
285,"Nov 10, 2022","8,271.50","8,050.00","8,045.50","8,045.50",63.40K,2.06%
286,"Nov 09, 2022","8,104.50","8,020.00","8,010.00","8,011.00",49.29K,-0.14%
287,"Nov 08, 2022","8,115.50","7,980.00","7,970.00","7,966.00",44.80K,2.54%
288,"Nov 07, 2022","7,914.50","7,950.00","7,935.00","7,935.50",46.43K,-2.28%
289,"Nov 04, 2022","8,099.00","7,910.00","7,880.00","7,876.00",103.82K,7.12%
290,"Nov 03, 2022","7,561.00","7,485.00","7,480.00","7,485.00",46.13K,-0.86%
