,Date,Price,Open,High,Low,Vol.,Change %
845,"Aug 20, 2020",7.75,8.12,8.16,7.61,2.05M,-5.02%
846,"Aug 19, 2020",8.16,7.59,8.18,7.51,2.27M,7.37%
847,"Aug 18, 2020",7.6,9.15,9.15,7.45,4.62M,-15.37%
848,"Aug 17, 2020",8.98,8.23,9.1,8.15,3.15M,13.67%
849,"Aug 14, 2020",7.9,7.53,7.98,7.36,1.40M,7.63%
850,"Aug 13, 2020",7.34,7.12,7.4,7.08,694.21K,3.23%
851,"Aug 12, 2020",7.11,7.45,7.58,7.06,893.19K,-3.53%
852,"Aug 11, 2020",7.37,7.38,7.65,7.15,1.13M,1.52%
853,"Aug 10, 2020",7.26,7.12,7.35,7.04,687.29K,2.69%
854,"Aug 07, 2020",7.07,7.15,7.2,6.79,864.09K,-0.98%
855,"Aug 06, 2020",7.14,7.18,7.48,7.06,996.31K,1.13%
856,"Aug 05, 2020",7.06,6.85,7.32,6.85,1.17M,4.59%
857,"Aug 04, 2020",6.75,6.28,6.89,6.22,1.10M,8.00%
858,"Aug 03, 2020",6.25,6.15,6.29,6.01,486.33K,2.12%
859,"Jul 31, 2020",6.12,6.21,6.33,6.04,574.36K,-1.45%
860,"Jul 30, 2020",6.21,6.11,6.39,5.93,917.95K,-0.96%
861,"Jul 29, 2020",6.27,6.4,6.47,6.17,783.67K,-1.72%
862,"Jul 28, 2020",6.38,6.85,6.96,6.28,1.70M,-3.63%
863,"Jul 27, 2020",6.62,5.85,6.67,5.83,2.63M,14.53%
864,"Jul 24, 2020",5.78,5.56,5.84,5.45,690.03K,3.96%
865,"Jul 23, 2020",5.56,5.64,5.88,5.5,715.70K,1.83%
866,"Jul 22, 2020",5.46,5.65,5.78,5.42,593.01K,-4.38%
867,"Jul 21, 2020",5.71,5.85,6.14,5.66,900.20K,-0.87%
868,"Jul 20, 2020",5.76,5.41,5.78,5.27,1.10M,9.30%
869,"Jul 17, 2020",5.27,5.3,5.42,5.21,359.35K,0.96%
870,"Jul 16, 2020",5.22,5.4,5.41,5.14,350.01K,-3.51%
871,"Jul 15, 2020",5.41,5.2,5.46,5.12,561.00K,6.29%
872,"Jul 14, 2020",5.09,5.06,5.14,4.87,517.42K,0.39%
873,"Jul 13, 2020",5.07,5.38,5.45,5.04,960.37K,-3.24%
874,"Jul 10, 2020",5.24,5.08,5.26,4.97,651.88K,0.19%
875,"Jul 09, 2020",5.23,5.47,5.47,5.17,676.67K,-2.43%
